P_1,P_2,P_3,P_4,P_5,P_6,P_7
535.660295412728+0i,537.182050284118+0i,-10+0i,536.654768236034+0i,-5.99723641165278+22.807513978042i,-5.99723641165278-22.807513978042i,-0.942809041582063+0i
535.939118377329+0i,537.557514394909+0i,-10+0i,536.933593713277+0i,-5.99723766797435+22.8157397657188i,-5.99723766797435-22.8157397657188i,-0.942809041582063+0i
536.438545932447+0i,537.679740206697+0i,-10+0i,537.433027613319+0i,-5.99724084043603+22.8184332442589i,-5.99724084043603-22.8184332442589i,-0.942809041582063+0i
536.757034834181+0i,537.820004631574+0i,-10+0i,537.75152034472+0i,-5.99724275526913+22.8215136439375i,-5.99724275526913-22.8215136439375i,-0.942809041582063+0i
537.182737500462+0i,537.990717528823+0i,-10+0i,538.177228177992+0i,-5.99724533876474+22.8252636810514i,-5.99724533876474-22.8252636810514i,-0.942809041582063+0i
537.618682722833+0i,538.163597636993+0i,-10+0i,538.613178688426+0i,-5.99724798279632+22.8290608740087i,-5.99724798279632-22.8290608740087i,-0.942809041582063+0i
537.950312886188+0i,538.333994291608+0i,-10+0i,538.944812737901+0i,-5.99724992585616+22.8327989841377i,-5.99724992585616-22.8327989841377i,-0.942809041582063+0i
538.420895192332+0i,538.395400873855+0i,-10+0i,539.415401151219+0i,-5.9972529794436+22.8341599076964i,-5.9972529794436-22.8341599076964i,-0.942809041582063+0i
538.893533678853+0i,538.542070763561+0i,-10+0i,539.888045475494+0i,-5.99725589832069+22.8373842335074i,-5.99725589832069-22.8373842335074i,-0.942809041582063+0i
539.182328817008+0i,538.989556041117+0i,-10+0i,540.176842983796+0i,-5.99725708339405+22.8471729860112i,-5.99725708339405-22.8471729860112i,-0.942809041582063+0i
539.411187926305+0i,539.069528534329+0i,-10+0i,540.405704883221+0i,-5.99725847845815+22.8489289682763i,-5.99725847845815-22.8489289682763i,-0.942809041582063+0i
539.527576198531+0i,539.12976496116+0i,-10+0i,540.522094508304+0i,-5.99725915488648+22.8502492902068i,-5.99725915488648-22.8502492902068i,-0.942809041582063+0i
